osm_id,name,highway_type,start_lat,start_lng,end_lat,end_lng,length_km,max_speed_kmph,lanes,oneway,surface
way/123456001,Gachibowli Main Road,primary,17.4400,78.3489,17.4285,78.3650,2.1,60,4,no,asphalt
way/123456002,Tolichowki Road,secondary,17.4285,78.3650,17.4150,78.3820,2.3,50,2,no,asphalt
way/123456003,Mehdipatnam Flyover,primary,17.4150,78.3820,17.3950,78.4150,4.2,60,4,no,asphalt
way/123456004,Attapur Ring Road,trunk,17.3950,78.4150,17.3850,78.4450,3.8,80,6,no,asphalt
way/123456005,Dilsukhnagar Main Road,primary,17.3850,78.4450,17.3700,78.4800,4.1,50,4,no,asphalt
way/123456006,Kothapet Junction Road,secondary,17.3700,78.4800,17.3550,78.5150,4.0,40,2,no,asphalt
way/123456007,LB Nagar Connector,primary,17.3550,78.5150,17.3457,78.5522,4.5,50,4,no,asphalt
way/123456008,Kondapur IT Corridor,primary,17.4400,78.3489,17.4600,78.3700,2.8,60,4,no,asphalt
way/123456009,KPHB Main Road,secondary,17.4600,78.3700,17.4850,78.4100,4.8,50,4,no,asphalt
way/123456010,Kukatpally Flyover,trunk,17.4850,78.4100,17.4950,78.4500,4.5,70,6,no,asphalt
way/123456011,Moosapet Connector,secondary,17.4950,78.4500,17.4800,78.4900,4.8,40,2,no,asphalt
way/123456012,Secunderabad Link Road,primary,17.4800,78.4900,17.4400,78.5100,5.2,50,4,no,asphalt
way/123456013,Malakpet Ring Road,secondary,17.4400,78.5100,17.3900,78.5300,5.8,45,2,no,asphalt
way/123456014,LB Nagar Eastern Approach,primary,17.3900,78.5300,17.3457,78.5522,5.2,50,4,no,asphalt
way/123456015,Financial District Road,primary,17.4400,78.3489,17.4100,78.3300,4.0,60,4,no,asphalt
way/123456016,Narsingi Expressway,trunk,17.4100,78.3300,17.3700,78.3200,4.8,80,6,no,asphalt
way/123456017,Shamshabad Approach,trunk,17.3700,78.3200,17.3200,78.3600,7.2,100,6,yes,asphalt
way/123456018,Outer Ring Road South,motorway,17.3200,78.3600,17.3000,78.4200,8.5,100,8,yes,asphalt
way/123456019,Chandrayangutta Road,secondary,17.3000,78.4200,17.3100,78.4800,6.8,50,2,no,asphalt
way/123456020,Sagar Ring Road Junction,primary,17.3100,78.4800,17.3300,78.5200,5.2,50,4,no,asphalt
way/123456021,LB Nagar Southern Entry,primary,17.3300,78.5200,17.3457,78.5522,4.0,50,4,no,asphalt
way/123456022,Hitech City Main Road,primary,17.4500,78.3800,17.4400,78.3489,4.2,60,6,no,asphalt
way/123456023,Madhapur Flyover,primary,17.4520,78.3920,17.4500,78.3800,1.5,50,4,no,asphalt
way/123456024,Jubilee Hills Road,secondary,17.4280,78.4050,17.4150,78.3820,3.0,40,2,no,asphalt
way/123456025,Banjara Hills Connector,secondary,17.4150,78.4120,17.3950,78.4150,2.4,40,2,no,asphalt
way/123456026,Rethi Bowli Road,secondary,17.4020,78.4280,17.3850,78.4450,2.8,40,2,no,asphalt
way/123456027,Mehdipatnam Bus Stand Road,tertiary,17.3960,78.4190,17.3950,78.4150,0.5,30,2,no,asphalt
way/123456028,Masab Tank Road,secondary,17.4080,78.4350,17.3950,78.4150,3.2,40,2,no,asphalt
way/123456029,Nampally Station Road,primary,17.3920,78.4680,17.3850,78.4450,2.8,40,4,no,asphalt
way/123456030,Koti Main Road,primary,17.3850,78.4750,17.3700,78.4800,1.8,40,4,no,asphalt
way/123456031,Abids Circle Road,secondary,17.3940,78.4750,17.3850,78.4750,1.2,30,2,no,asphalt
way/123456032,Charminar Access Road,secondary,17.3610,78.4750,17.3550,78.5150,5.0,30,2,no,asphalt
way/123456033,Shalibanda Road,tertiary,17.3580,78.4820,17.3550,78.5150,3.5,30,2,no,asphalt
way/123456034,Hayathnagar Road,secondary,17.3350,78.5300,17.3457,78.5522,3.0,40,2,no,asphalt
way/123456035,Vanasthalipuram Road,secondary,17.3280,78.5450,17.3457,78.5522,2.2,40,2,no,asphalt
