name,Latitude,Longitude
apollo heart hospital,17.717130152777795,83.30924034118654
lazarus hospital,17.717048392973915,83.30801725387575
7 hills hospital,17.717784229866965,83.30984115600587
omni RK hospital,17.71866314219905,83.31162214279176
care hospital ,17.720420953940177,83.31271648406984
care maharanipeta,17.709792061955064,83.30554962158205
KGH,17.708810901714486,83.30612897872926
abc hospital,17.706071800982382,83.30926179885866
nature cure hospital,17.707604884901986,83.31115007400514
my cure hospital,17.711917890736718,83.31454038619997
st Josephs hospital,17.711427317099698,83.31198692321779
medicover hospital,17.712510665424997,83.31376791000368
kalavathi surgical hospital,17.72671623135451,83.29898357391359
padmasri hospital,17.738243373981593,83.30368280410768
Queens nri hospital,17.74043017726912,83.30803871154787
amma hospital,17.746683878544864,83.33078384399415
medicover MVP,17.747848759551463,83.33185672760011
mvp hospital,17.741779033272383,83.33518266677858
vims,17.759149755400166,83.33005428314209
apollo arilova,17.761193258915483,83.31767320632936
care arillova,17.761663261421862,83.3152484893799
medicover arilova,17.764626292264488,83.31284523010255
star pinacle arilova,17.762971087983438,83.30821037292482
mgr hospital,17.73245945716697,83.33086967468263
government tb hospital,17.72334378880226,83.33101987838747
an beach hospital,17.71291947441363,83.31975460052492
,17.732132445692425,83.3401393890381
krishna hospital,17.710213652597947,83.31100791692735
rani chandramathi hospital,17.728984929735336,83.33662033081056
vuda park,17.721810839396685,83.33559036254884
RK beach (novotel),17.71059436087277,83.31682562828065
RK beach circle ,17.71150396931892,83.31810772418977
nowroji road (aaradhya fertility clinic),17.71460069158551,83.3125287294388
st antony primary high school ramnagar,17.714672232392246,83.30624699592592
ramnagar circle,17.71781488967198,83.30950856208803
old jail road circle,17.71997128280938,83.30632209777832
dabagardens ,17.72120276583515,83.30340385437013
GVMC circle,17.723624828104835,83.30522775650026
Asilmetta junction,17.724754090678807,83.3061718940735
diamond park,17.726818425592903,83.30353260040283
dwarkanagar icici bank,17.72656293988767,83.30626308918
4th town junction,17.7377733099755,83.30469131469728
akkayyapalem junction,17.740552800961947,83.29991698265077
maharani parlour,17.73525946848392,83.29988479614259
thatichetlapalem,17.73375727807209,83.28787922859193
thatechetlapalem highway,17.735065308527233,83.28735351562501
railway new colony ,17.727799487316908,83.29117298126222
dondaparthy,17.727247640757902,83.29929471015932
railway station signal,17.723629937906253,83.29319000244142
drm office,17.725265066881413,83.29890847206117
allipuram junction,17.718867539798453,83.29233169555665
jagadamba center,17.711897450195288,83.30241680145265
jagadamba one way towards kgh,17.711417096801338,83.30228805541994
jagadamba one way towards jagadamba,17.71091630146805,83.30190181732179
leelamahal,17.713231190641476,83.29887092113496
dolphin hotel,17.712411018092798,83.29764515161516
saraswathi park,17.714145895789773,83.300319314003
choultry ,17.70970007841043,83.30130100250246
rk beach gokul park,17.70533080572647,83.30988943576814
allipuram main road,17.720359635216017,83.29639792442323
zilla parishad,17.710435945447163,83.3109810948372
kgh ingate,17.708698476760983,83.30700874328615
central pharmacy kgh ,17.708213004562086,83.3080279827118
rtc complex asilmetta,17.724549699789943,83.30844640731813
sampath vinayaka temple,17.724467943369156,83.31209421157838
tycoon circle,17.72495848133464,83.31687927246095
vip road BRTS,17.729598086530213,83.31408977508546
dutt island,17.723875208203303,83.31825256347658
childrens theatre,17.721013700526,83.32001209259035
pedda waltair junction,17.731682803940448,83.33404541015626
pollamamba juction,17.73010904892342,83.32893848419191
jallaripeta,17.730272556581546,83.34020376205446
shivajip[alem highway,17.740491489126015,83.32732915878297
maddilipalem,17.73552516071524,83.32024812698366
satyam junction,17.734421513481028,83.31290960311891
gurudwara junction,17.736771865153464,83.30773830413818
seethamadara,17.743332248812006,83.314368724823
port stadium back gate,17.741779033272383,83.30400466918947
highway lawsons bay colony,17.739352107022597,83.30352187156679
venkojipalem,17.746847371073233,83.32876682281496
isakathota,17.742800887117177,83.32799434661867
venkojipolem,17.747583085603154,83.33125591278078
hanumanthwaka junction,17.75528747000655,83.33269357681276
rk beach kailashagiri,17.75026024351113,83.34891557693481
mudasarlova,17.761540652191435,83.2970952987671
4th town police station,17.73815906911475,83.30509632825853
police baracks,17.71048576966869,83.29945832490922
2 town police station,17.72841264816745,83.32608461380006
fire station police baracks road,17.71145797799132,83.29843103885652
